dep,jour,pop,p,cl_age90
48,2020-05-13,8599.00,0,19
48,2020-05-13,7003.00,0,29
48,2020-05-13,7892.00,0,39
48,2020-05-13,9437.00,0,49
48,2020-05-13,10818.00,0,59
48,2020-05-13,11069.00,0,69
48,2020-05-13,7939.00,0,79
48,2020-05-13,4982.00,0,89
48,2020-05-13,1564.00,0,90
49,2020-05-13,815881.00,6,0
49,2020-05-13,91261.00,0,09
49,2020-05-13,112901.00,0,19
49,2020-05-13,89587.00,2,29
49,2020-05-13,95013.00,0,39
49,2020-05-13,102005.00,0,49
49,2020-05-13,102416.00,0,59
49,2020-05-13,96660.00,0,69
49,2020-05-13,67943.00,1,79
49,2020-05-13,43315.00,1,89
49,2020-05-13,14780.00,2,90
50,2020-05-13,490669.00,5,0
50,2020-05-13,49168.00,0,09
50,2020-05-13,56234.00,0,19
50,2020-05-13,43715.00,2,29
50,2020-05-13,52724.00,1,39
50,2020-05-13,58061.00,0,49
50,2020-05-13,68673.00,1,59
50,2020-05-13,69331.00,0,69
50,2020-05-13,50559.00,0,79
50,2020-05-13,32934.00,0,89
50,2020-05-13,9270.00,0,90
51,2020-05-13,563823.00,14,0
51,2020-05-13,64752.00,0,09
51,2020-05-13,71943.00,0,19
51,2020-05-13,68195.00,2,29
51,2020-05-13,69338.00,1,39
51,2020-05-13,70406.00,1,49
51,2020-05-13,72009.00,2,59
51,2020-05-13,67019.00,3,69
51,2020-05-13,47029.00,1,79
51,2020-05-13,26142.00,2,89
51,2020-05-13,6990.00,2,90
52,2020-05-13,169250.00,2,0
52,2020-05-13,16554.00,0,09
52,2020-05-13,18311.00,0,19
52,2020-05-13,16085.00,1,29
52,2020-05-13,17980.00,0,39
52,2020-05-13,19980.00,0,49
52,2020-05-13,24288.00,0,59
52,2020-05-13,24972.00,1,69
52,2020-05-13,17509.00,0,79
52,2020-05-13,10711.00,0,89
52,2020-05-13,2860.00,0,90
53,2020-05-13,305365.00,2,0
53,2020-05-13,34882.00,0,09
53,2020-05-13,39986.00,0,19
53,2020-05-13,28248.00,0,29
53,2020-05-13,33591.00,0,39
53,2020-05-13,38239.00,0,49
53,2020-05-13,40380.00,0,59
53,2020-05-13,38731.00,1,69
53,2020-05-13,27234.00,1,79
53,2020-05-13,18329.00,0,89
53,2020-05-13,5745.00,0,90
54,2020-05-13,730398.00,23,0
54,2020-05-13,79209.00,1,09
54,2020-05-13,91484.00,3,19
54,2020-05-13,94161.00,6,29
54,2020-05-13,91468.00,5,39
54,2020-05-13,89778.00,1,49
54,2020-05-13,92748.00,2,59
54,2020-05-13,87766.00,2,69
54,2020-05-13,58778.00,1,79
54,2020-05-13,36017.00,1,89
54,2020-05-13,8989.00,1,90
55,2020-05-13,181641.00,15,0
55,2020-05-13,19060.00,0,09
55,2020-05-13,21315.00,0,19
55,2020-05-13,17068.00,1,29
55,2020-05-13,20573.00,4,39
55,2020-05-13,22189.00,1,49
55,2020-05-13,25507.00,3,59
55,2020-05-13,26010.00,3,69
55,2020-05-13,16897.00,2,79
55,2020-05-13,10354.00,0,89
55,2020-05-13,2668.00,1,90
56,2020-05-13,755566.00,0,0
56,2020-05-13,76812.00,0,09
56,2020-05-13,89841.00,0,19
56,2020-05-13,64396.00,0,29
56,2020-05-13,80891.00,0,39
56,2020-05-13,94257.00,0,49
56,2020-05-13,103556.00,0,59
56,2020-05-13,109483.00,0,69
56,2020-05-13,78474.00,0,79
56,2020-05-13,45846.00,0,89
56,2020-05-13,12010.00,0,90
57,2020-05-13,1035866.00,36,0
57,2020-05-13,111345.00,1,09
57,2020-05-13,118336.00,3,19
57,2020-05-13,111147.00,2,29
